,word,frequency
931,부담,81
932,친절,81
933,미리,81
934,우,81
935,삼겹,81
936,연락,81
937,아는,81
938,작은,80
939,미니,80
940,보면,80
941,먹으려,80
942,왔구요,80
943,시켰습니다,80
944,준비,80
945,잇어서,79
946,부탁드립니다,79
947,움,79
948,죄송합니다,79
949,필요,79
950,싹,79
951,잇,79
952,껍질,79
953,쫌,79
954,확실히,79
955,걸려서,79
956,됩니다,79
957,불족,79
958,손,78
959,빠르구요,78
960,맛있네,78
961,조만간,78
962,암튼,78
963,정신,78
964,내일,78
965,받아,78
966,해주셨어요,77
967,막,77
968,느끼하지,77
969,번은,77
970,빨랐습니다,77
971,집은,77
972,했고,77
973,얼음,77
974,사실,77
975,즐겨,77
976,찍는걸,77
977,도우,77
978,모닝,77
979,기억,76
980,건더기,76
981,인생,76
982,부드러워서,76
983,맛있네여,76
984,만족해요,76
985,정성,76
986,바삭바삭하고,76
987,새로,76
988,구리,76
989,벚꽃,76
990,상하이,76
991,마싯게,75
992,써,75
993,역쉬,75
994,그것,75
995,끔,75
996,주셨네요,75
997,시원하게,75
998,대박나세요,75
999,없어,75
1000,부탁,75
1001,널,75
1002,마싯어요,75
1003,콤,75
1004,싶어요,75
1005,있으면,75
1006,회덮밥,75
1007,치즈스틱,75
1008,호각,75
1009,먹는거,74
1010,찍고,74
1011,해결,74
1012,친절하셔서,74
1013,마니,74
1014,같고,74
1015,와요,74
1016,뚝딱,74
1017,넘게,74
1018,살코기,74
1019,감자탕,74
1020,무료,73
1021,글,73
1022,더블,73
1023,기적,73
1024,커서,73
1025,남은,73
1026,해야,73
1027,질리,73
1028,푸딩,73
1029,깨끗하고,72
1030,좋을것,72
1031,있지만,72
1032,깔끔해요,72
1033,두고,72
1034,젓가락,72
1035,파,72
1036,버렸네요,72
1037,담백하고,72
1038,얼,72
1039,이름,72
1040,시키지,72
1041,도둑,72
1042,터지게,72
1043,좋겠네요,71
1044,빼곤,71
1045,황금,71
1046,식,71
1047,하시고,71
1048,모르고,71
1049,일품,71
1050,않았어요,71
1051,비계,71
1052,먹구,71
1053,성수,71
1054,비빔냉면,71
1055,중국,70
1056,진하고,70
1057,하셔서,70
1058,와우,70
1059,걸렸지만,70
1060,쫀득,70
1061,냠냠,70
1062,마지막,70
1063,갈,70
1064,넉넉해서,69
1065,깔,69
1066,부드러워요,69
1067,나름,69
1068,점심시간,69
1069,이해,69
1070,페퍼로니,69
1071,용이,69
1072,빨라,68
1073,시키게,68
1074,많음,68
1075,먼저,68
1076,박스,68
1077,골고루,68
1078,흑,68
1079,저렴하게,68
1080,삼겹살,68
1081,해주시고,67
1082,피,67
1083,주세요,67
1084,맛있었,67
1085,먹을듯,67
1086,들어있어서,67
1087,주심,67
1088,적어요,67
1089,괜찮은,67
1090,점점,67
1091,매웠어요,67
1092,먹었는데도,66
1093,봐야겠어요,66
1094,세번,66
1095,아닌,66
1096,어머니,66
1097,봣,66
1098,놓고,66
1099,전반,66
1100,추운,66
1101,술안주,66
1102,갑니다,66
1103,분식,66
1104,불지,65
1105,겉,65
1106,했었는데,65
1107,시킴,65
1108,보는,65
1109,뜨겁게,65
1110,신랑,65
1111,풍,65
1112,찍었지만,65
1113,대,65
1114,잇음,65
1115,보장,65
1116,함박스테이크,65
1117,멍,65
1118,노랑,65
1119,양배추,64
1120,스트레스,64
1121,절대,64
1122,벨,64
1123,적당한,64
1124,먹을거에요,64
1125,차이,64
1126,기요,64
1127,배부르고,64
1128,그렇게,64
1129,툼,64
1130,시장,64
1131,기네스,64
1132,시키겠습니다,63
1133,음료수,63
1134,좋아여,63
1135,지도,63
1136,살얼음,63
1137,행복한,63
1138,감사했습니다,63
1139,금액,63
1140,하다,63
1141,은근,63
1142,먹었더니,63
1143,거기,63
1144,깍두기,63
1145,면목,63
