,word,frequency
1398,맛없어요,28
1399,시켰더니,28
1400,아쉬운건,28
1401,찍었지만,28
1402,정확히,28
1403,만큼,28
1404,안전하게,28
1405,식당,28
1406,먼저,28
1407,줌,28
1408,먹구,28
1409,진짜진짜,28
1410,들어가서,28
1411,걸림,28
1412,어유,28
1413,앙,28
1414,집은,28
1415,답,28
1416,써서,28
1417,나머지,28
1418,내일,28
1419,블랙,28
1420,아이스크림,28
1421,들어있어서,28
1422,맞춰서,28
1423,황,28
1424,색,27
1425,혜자,27
1426,프레,27
1427,봐야겠어요,27
1428,냉동,27
1429,쫀득,27
1430,하구,27
1431,왔음,27
1432,눅눅했어요,27
1433,만점,27
1434,되는데,27
1435,시킬것,27
1436,그렇네요,27
1437,않음,27
1438,없죠,27
1439,별하나,27
1440,될듯,27
1441,식어도,27
1442,손님,27
1443,하시길,27
1444,얼큰하고,27
1445,제발,27
1446,바쁜,27
1447,와우,27
1448,들어있고,27
1449,육수,27
1450,했으면,27
1451,따끈따끈,27
1452,같았어요,27
1453,세,27
1454,세번,27
1455,몇개,27
1456,남겨요,27
1457,신건,27
1458,넉넉해서,27
1459,숟가락,27
1460,남자,27
1461,데워,27
1462,간식,27
1463,작아서,27
1464,브라운,27
1465,탓,27
1466,호점,27
1467,맥너겟,27
1468,머쉬룸,27
1469,샌드위치,27
1470,남깁니다,26
1471,받았는데,26
1472,찌개,26
1473,좋아하네요,26
1474,됐어요,26
1475,고요,26
1476,냉,26
1477,봄,26
1478,뿐,26
1479,좋아하시는,26
1480,넣고,26
1481,많구요,26
1482,그닥,26
1483,짜리,26
1484,확,26
1485,찍고,26
1486,메모,26
1487,중국음식,26
1488,깨끗한,26
1489,사업,26
1490,주의,26
1491,후추,26
1492,초,26
1493,놀랐습니다,26
1494,방금,26
1495,이리,26
1496,느끼하고,26
1497,역대,26
1498,시켜야겠어요,26
1499,일품,26
1500,긋,26
1501,물이,26
1502,적지,26
1503,친절하시구,26
1504,누르고,26
1505,긴한데,26
1506,셋트,26
1507,주는,26
1508,버리고,26
1509,어어,26
1510,실패,26
1511,알았어요,26
1512,하여,26
1513,사과,26
1514,신랑,26
1515,않습니다,26
1516,올,26
1517,심,26
1518,그게,26
1519,늦,26
1520,엉망,26
1521,세상,26
1522,호,26
1523,신제품,26
1524,상추,26
1525,짐하네요,26
1526,조만간,26
1527,뜨끈하게,26
1528,기름기,26
1529,허니,26
1530,맵스터,26
1531,쌈밥,26
1532,가까운,25
1533,예술,25
1534,할거,25
